id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,PassageId,Subscription
E_ENG_L001_Q001,1,Synonyms,What is a synonym for happy?,Sad,Glad,Angry,Tired,Glad,MCQ,,,
E_ENG_L001_Q002,1,Synonyms,What is a synonym for big?,Tiny,Small,Large,Short,Large,MCQ,,,
E_ENG_L001_Q003,1,Synonyms,What is a synonym for fast?,Quick,Slow,Weak,Late,Quick,MCQ,,,
E_ENG_L001_Q004,1,Synonyms,What is a synonym for small?,Huge,Little,Tall,Wide,Little,MCQ,,,
E_ENG_L001_Q005,1,Synonyms,What is a synonym for smart?,Clever,Silly,Sleepy,Noisy,Clever,MCQ,,,
E_ENG_L001_Q006,1,Synonyms,What is a synonym for begin?,Finish,Stop,Start,Close,Start,MCQ,,,
E_ENG_L001_Q007,1,Synonyms,What is a synonym for pretty?,Beautiful,Ugly,Dirty,Bad,Beautiful,MCQ,,,
E_ENG_L001_Q008,1,Synonyms,What is a synonym for angry?,Calm,Mad,Happy,Kind,Mad,MCQ,,,
E_ENG_L001_Q009,1,Synonyms,What is a synonym for gift?,Present,Box,Toy,Paper,Present,MCQ,,,
E_ENG_L001_Q010,1,Synonyms,What is a synonym for quiet?,Loud,Noisy,Silent,Busy,Silent,MCQ,,,
E_ENG_L002_Q011,2,Synonyms,What is a synonym for cold?,Hot,Chilly,Warm,Dry,Chilly,MCQ,,,
E_ENG_L002_Q012,2,Synonyms,What is a synonym for small?,Little,Giant,Huge,Big,Little,MCQ,,,
E_ENG_L002_Q013,2,Synonyms,What is a synonym for quick?,Slow,Fast,Weak,Lazy,Fast,MCQ,,,
E_ENG_L002_Q014,2,Synonyms,What is a synonym for funny?,Serious,Angry,Silly,Sad,Silly,MCQ,,,
E_ENG_L002_Q015,2,Synonyms,What is a synonym for clean?,Dirty,Neat,Messy,Wet,Neat,MCQ,,,
E_ENG_L002_Q016,2,Synonyms,What is a synonym for easy?,Hard,Simple,Difficult,Tough,Simple,MCQ,,,
E_ENG_L002_Q017,2,Synonyms,What is a synonym for loud?,Quiet,Soft,Noisy,Silent,Noisy,MCQ,,,
E_ENG_L002_Q018,2,Synonyms,What is a synonym for tired?,Sleepy,Excited,Strong,Fresh,Sleepy,MCQ,,,
E_ENG_L002_Q019,2,Synonyms,What is a synonym for near?,Far,Close,Away,Distant,Close,MCQ,,,
E_ENG_L002_Q020,2,Synonyms,What is a synonym for rich?,Poor,Wealthy,Hungry,Empty,Wealthy,MCQ,,,
E_ENG_L003_Q021,3,Synonyms,What is a synonym for kind?,Mean,Nice,Angry,Rough,Nice,MCQ,,,
E_ENG_L003_Q022,3,Synonyms,What is a synonym for large?,Tiny,Little,Huge,Short,Huge,MCQ,,,
E_ENG_L003_Q023,3,Synonyms,What is a synonym for start?,Begin,End,Stop,Finish,Begin,MCQ,,,
E_ENG_L003_Q024,3,Synonyms,What is a synonym for finish?,Begin,Start,Complete,Open,Complete,MCQ,,,
E_ENG_L003_Q025,3,Synonyms,What is a synonym for little?,Small,Giant,Huge,Wide,Small,MCQ,,,
E_ENG_L003_Q026,3,Synonyms,What is a synonym for brave?,Afraid,Courageous,Weak,Shy,Courageous,MCQ,,,
E_ENG_L003_Q027,3,Synonyms,What is a synonym for afraid?,Scared,Brave,Happy,Proud,Scared,MCQ,,,
E_ENG_L003_Q028,3,Synonyms,What is a synonym for beautiful?,Pretty,Ugly,Plain,Dirty,Pretty,MCQ,,,
E_ENG_L003_Q029,3,Synonyms,What is a synonym for strong?,Weak,Powerful,Tiny,Slow,Powerful,MCQ,,,
E_ENG_L003_Q030,3,Synonyms,What is a synonym for sad?,Happy,Joyful,Unhappy,Excited,Unhappy,MCQ,,,
E_ENG_L004_Q031,4,Synonyms,What is a synonym for old?,New,Ancient,Young,Fresh,Ancient,MCQ,,,
E_ENG_L004_Q032,4,Synonyms,What is a synonym for new?,Old,Fresh,Ancient,Used,Fresh,MCQ,,,
E_ENG_L004_Q033,4,Synonyms,What is a synonym for angry?,Furious,Calm,Glad,Gentle,Furious,MCQ,,,
E_ENG_L004_Q034,4,Synonyms,What is a synonym for help?,Hurt,Assist,Stop,Break,Assist,MCQ,,,
E_ENG_L004_Q035,4,Synonyms,What is a synonym for look?,See,Hear,Touch,Smell,See,MCQ,,,
E_ENG_L004_Q036,4,Synonyms,What is a synonym for speak?,Talk,Walk,Run,Sleep,Talk,MCQ,,,
E_ENG_L004_Q037,4,Synonyms,What is a synonym for jump?,Leap,Sit,Sleep,Crawl,Leap,MCQ,,,
E_ENG_L004_Q038,4,Synonyms,What is a synonym for laugh?,Cry,Giggle,Shout,Sleep,Giggle,MCQ,,,
E_ENG_L004_Q039,4,Synonyms,What is a synonym for smart?,Clever,Foolish,Weak,Slow,Clever,MCQ,,,
E_ENG_L004_Q040,4,Synonyms,What is a synonym for quickly?,Slowly,Rapidly,Quietly,Sadly,Rapidly,MCQ,,,
E_ENG_L005_Q041,5,Synonyms,What is a synonym for road?,Path,House,Tree,River,Path,MCQ,,,
E_ENG_L005_Q042,5,Synonyms,What is a synonym for gift?,Present,Food,Book,Game,Present,MCQ,,,
E_ENG_L005_Q043,5,Synonyms,What is a synonym for home?,School,House,Park,Shop,House,MCQ,,,
E_ENG_L005_Q044,5,Synonyms,What is a synonym for job?,Work,Play,Rest,Sleep,Work,MCQ,,,
E_ENG_L005_Q045,5,Synonyms,What is a synonym for friend?,Enemy,Pal,Stranger,Teacher,Pal,MCQ,,,
E_ENG_L005_Q046,5,Synonyms,What is a synonym for answer?,Question,Reply,Problem,Story,Reply,MCQ,,,
E_ENG_L005_Q047,5,Synonyms,What is a synonym for mistake?,Error,Answer,Prize,Lesson,Error,MCQ,,,
E_ENG_L005_Q048,5,Synonyms,What is a synonym for begin?,End,Start,Finish,Stop,Start,MCQ,,,
E_ENG_L005_Q049,5,Synonyms,What is a synonym for safe?,Dangerous,Secure,Broken,Lost,Secure,MCQ,,,
E_ENG_L005_Q050,5,Synonyms,What is a synonym for choose?,Pick,Drop,Throw,Hide,Pick,MCQ,,,
E_ENG_L006_Q051,6,Antonyms,What is the opposite of hot?,Warm,Cold,Dry,Bright,Cold,MCQ,,,
E_ENG_L006_Q052,6,Antonyms,What is the opposite of big?,Large,Huge,Small,Tall,Small,MCQ,,,
E_ENG_L006_Q053,6,Antonyms,What is the opposite of happy?,Glad,Cheerful,Sad,Excited,Sad,MCQ,,,
