id,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,PassageId,Subscription
F_ENG_L125_Q1242,1,Build the Sentence,Arrange the words to make a sentence.,,,,,I|am|happy|.,rearrange,happy|I|am|.,,Free
F_ENG_L125_Q1243,1,Build the Sentence,Arrange the words to make a sentence.,,,,,I|am|sad|.,rearrange,sad|I|am|.,,Free
F_ENG_L125_Q1244,1,Build the Sentence,Arrange the words to make a sentence.,,,,,I|am|tall|.,rearrange,tall|I|am|.,,Free
F_ENG_L125_Q1245,1,Build the Sentence,Arrange the words to make a sentence.,,,,,I|am|six|.,rearrange,six|I|am|.,,Free
F_ENG_L125_Q1246,1,Build the Sentence,Arrange the words to make a sentence.,,,,,I|can|run|.,rearrange,run|I|can|.,,Free
F_ENG_L125_Q1247,1,Build the Sentence,Arrange the words to make a sentence.,,,,,I|can|jump|.,rearrange,jump|I|can|.,,Free
F_ENG_L125_Q1248,1,Build the Sentence,Arrange the words to make a sentence.,,,,,I|can|swim|.,rearrange,swim|I|can|.,,Free
F_ENG_L125_Q1249,1,Build the Sentence,Arrange the words to make a sentence.,,,,,I|can|read|.,rearrange,read|I|can|.,,Free
F_ENG_L125_Q1250,1,Build the Sentence,Arrange the words to make a sentence.,,,,,I|like|milk|.,rearrange,milk|I|like|.,,Free
F_ENG_L126_Q1251,1,Build the Sentence,Arrange the words to make a sentence.,,,,,I|like|rice|.,rearrange,rice|I|like|.,,Free
F_ENG_L126_Q1252,2,Build the Sentence,Arrange the words to make a sentence.,,,,,I|like|apples|.,rearrange,apples|I|like|.,,Free
F_ENG_L126_Q1253,2,Build the Sentence,Arrange the words to make a sentence.,,,,,I|like|cats|.,rearrange,cats|I|like|.,,Free
F_ENG_L126_Q1254,2,Build the Sentence,Arrange the words to make a sentence.,,,,,I|have|a|pen|.,rearrange,pen|a|I|have|.,,Free
F_ENG_L126_Q1255,2,Build the Sentence,Arrange the words to make a sentence.,,,,,I|have|a|bag|.,rearrange,bag|a|I|have|.,,Free
F_ENG_L126_Q1256,2,Build the Sentence,Arrange the words to make a sentence.,,,,,I|have|a|book|.,rearrange,book|a|I|have|.,,Free
F_ENG_L126_Q1257,2,Build the Sentence,Arrange the words to make a sentence.,,,,,I|have|a|ball|.,rearrange,ball|a|I|have|.,,Free
F_ENG_L126_Q1258,2,Build the Sentence,Arrange the words to make a sentence.,,,,,This|is|a|cat|.,rearrange,cat|a|This|is|.,,Free
F_ENG_L126_Q1259,2,Build the Sentence,Arrange the words to make a sentence.,,,,,This|is|a|dog|.,rearrange,dog|a|This|is|.,,Free
F_ENG_L126_Q1260,2,Build the Sentence,Arrange the words to make a sentence.,,,,,This|is|a|hat|.,rearrange,hat|a|This|is|.,,Free
F_ENG_L127_Q1261,2,Build the Sentence,Arrange the words to make a sentence.,,,,,This|is|a|car|.,rearrange,car|a|This|is|.,,Free
F_ENG_L127_Q1262,3,Build the Sentence,Arrange the words to make a sentence.,,,,,It|is|a|sun|.,rearrange,sun|a|It|is|.,,Free
F_ENG_L127_Q1263,3,Build the Sentence,Arrange the words to make a sentence.,,,,,It|is|big|.,rearrange,big|It|is|.,,Free
F_ENG_L127_Q1264,3,Build the Sentence,Arrange the words to make a sentence.,,,,,It|is|red|.,rearrange,red|It|is|.,,Free
F_ENG_L127_Q1265,3,Build the Sentence,Arrange the words to make a sentence.,,,,,It|is|hot|.,rearrange,hot|It|is|.,,Free
F_ENG_L127_Q1266,3,Build the Sentence,Arrange the words to make a sentence.,,,,,The|sun|is|hot|.,rearrange,hot|The|is|sun|.,,Free
F_ENG_L127_Q1267,3,Build the Sentence,Arrange the words to make a sentence.,,,,,The|sky|is|blue|.,rearrange,blue|The|is|sky|.,,Free
F_ENG_L127_Q1268,3,Build the Sentence,Arrange the words to make a sentence.,,,,,The|cat|is|small|.,rearrange,small|The|is|cat|.,,Free
F_ENG_L127_Q1269,3,Build the Sentence,Arrange the words to make a sentence.,,,,,The|dog|is|big|.,rearrange,big|The|is|dog|.,,Free
F_ENG_L127_Q1270,3,Build the Sentence,Arrange the words to make a sentence.,,,,,The|ball|is|round|.,rearrange,round|The|is|ball|.,,Free
F_ENG_L128_Q1271,3,Build the Sentence,Arrange the words to make a sentence.,,,,,The|flower|is|pretty|.,rearrange,pretty|The|is|flower|.,,Free
F_ENG_L128_Q1272,4,Build the Sentence,Arrange the words to make a sentence.,,,,,I|see|a|bird|.,rearrange,bird|a|I|see|.,,Free
F_ENG_L128_Q1273,4,Build the Sentence,Arrange the words to make a sentence.,,,,,I|see|a|fish|.,rearrange,fish|a|I|see|.,,Free
F_ENG_L128_Q1274,4,Build the Sentence,Arrange the words to make a sentence.,,,,,I|see|a|tree|.,rearrange,tree|a|I|see|.,,Free
F_ENG_L128_Q1275,4,Build the Sentence,Arrange the words to make a sentence.,,,,,I|see|a|car|.,rearrange,car|a|I|see|.,,Free
F_ENG_L128_Q1276,4,Build the Sentence,Arrange the words to make a sentence.,,,,,He|is|my|friend|.,rearrange,friend|my|He|is|.,,Free
F_ENG_L128_Q1277,4,Build the Sentence,Arrange the words to make a sentence.,,,,,She|is|my|friend|.,rearrange,friend|my|She|is|.,,Free
F_ENG_L128_Q1278,4,Build the Sentence,Arrange the words to make a sentence.,,,,,He|has|a|dog|.,rearrange,dog|a|He|has|.,,Free
F_ENG_L128_Q1279,4,Build the Sentence,Arrange the words to make a sentence.,,,,,She|has|a|cat|.,rearrange,cat|a|She|has|.,,Free
F_ENG_L128_Q1280,4,Build the Sentence,Arrange the words to make a sentence.,,,,,We|are|friends|.,rearrange,friends|We|are|.,,Free
F_ENG_L129_Q1281,4,Build the Sentence,Arrange the words to make a sentence.,,,,,We|are|happy|.,rearrange,happy|We|are|.,,Free
F_ENG_L129_Q1282,5,Build the Sentence,Arrange the words to make a sentence.,,,,,They|are|happy|.,rearrange,happy|They|are|.,,Free
F_ENG_L129_Q1283,5,Build the Sentence,Arrange the words to make a sentence.,,,,,They|are|friends|.,rearrange,friends|They|are|.,,Free
F_ENG_L129_Q1284,5,Build the Sentence,Arrange the words to make a sentence.,,,,,My|name|is|Rita|.,rearrange,Rita|is|My|name|.,,Free
F_ENG_L129_Q1285,5,Build the Sentence,Arrange the words to make a sentence.,,,,,My|name|is|Tom|.,rearrange,Tom|is|My|name|.,,Free
F_ENG_L129_Q1286,5,Build the Sentence,Arrange the words to make a sentence.,,,,,My|bag|is|blue|.,rearrange,blue|is|My|bag|.,,Free
F_ENG_L129_Q1287,5,Build the Sentence,Arrange the words to make a sentence.,,,,,My|book|is|new|.,rearrange,new|is|My|book|.,,Free
F_ENG_L129_Q1288,5,Build the Sentence,Arrange the words to make a sentence.,,,,,The|boy|can|run|.,rearrange,run|can|The|boy|.,,Free
F_ENG_L129_Q1289,5,Build the Sentence,Arrange the words to make a sentence.,,,,,The|girl|can|jump|.,rearrange,jump|can|The|girl|.,,Free
