id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,PassageId,Subscription
E_MAT_L001_Q001,1,Numbers,Choose the larger number,13,17,,,17,MCQ,,,
E_MAT_L001_Q002,1,Numbers,Choose the larger number,27,32,,,32,MCQ,,,
E_MAT_L001_Q003,1,Numbers,Choose the larger number,23,22,,,23,MCQ,,,
E_MAT_L001_Q004,1,Numbers,Choose the larger number,45,39,,,45,MCQ,,,
E_MAT_L001_Q005,1,Numbers,Choose the larger number,68,74,,,74,MCQ,,,
E_MAT_L001_Q006,1,Numbers,Choose the larger number,91,89,,,91,MCQ,,,
E_MAT_L001_Q007,1,Numbers,Choose the larger number,56,65,,,65,MCQ,,,
E_MAT_L001_Q008,1,Numbers,Choose the larger number,14,9,,,14,MCQ,,,
E_MAT_L001_Q009,1,Numbers,Choose the larger number,83,80,,,83,MCQ,,,
E_MAT_L001_Q010,1,Numbers,Choose the larger number,100,91,,,100,MCQ,,,
E_MAT_L002_Q011,2,Numbers,Select the greatest number.,45,67,34,50,67,MCQ,,,
E_MAT_L002_Q012,2,Numbers,Select the greatest number.,35,18,42,27,42,MCQ,,,
E_MAT_L002_Q013,2,Numbers,Select the greatest number.,61,44,56,39,61,MCQ,,,
E_MAT_L002_Q014,2,Numbers,Select the greatest number.,85,91,68,73,91,MCQ,,,
E_MAT_L002_Q015,2,Numbers,Select the greatest number.,19,25,9,12,25,MCQ,,,
E_MAT_L002_Q016,2,Numbers,Select the greatest number.,81,76,94,88,94,MCQ,,,
E_MAT_L002_Q017,2,Numbers,Select the greatest number.,41,52,30,47,52,MCQ,,,
E_MAT_L002_Q018,2,Numbers,Select the greatest number.,64,71,59,66,71,MCQ,,,
E_MAT_L002_Q019,2,Numbers,Select the greatest number.,29,17,22,14,29,MCQ,,,
E_MAT_L002_Q020,2,Numbers,Select the greatest number.,79,95,98,83,98,MCQ,,,
E_MAT_L003_Q021,3,Numbers,Which number is smaller.,65,56,,,56,MCQ,,,
E_MAT_L003_Q022,3,Numbers,Which number is smaller.,18,24,,,18,MCQ,,,
E_MAT_L003_Q023,3,Numbers,Which number is smaller.,72,69,,,69,MCQ,,,
E_MAT_L003_Q024,3,Numbers,Which number is smaller.,91,84,,,84,MCQ,,,
E_MAT_L003_Q025,3,Numbers,Which number is smaller.,37,45,,,37,MCQ,,,
E_MAT_L003_Q026,3,Numbers,Which number is smaller.,58,63,,,58,MCQ,,,
E_MAT_L003_Q027,3,Numbers,Which number is smaller.,29,16,,,16,MCQ,,,
E_MAT_L003_Q028,3,Numbers,Which number is smaller.,80,98,,,80,MCQ,,,
E_MAT_L003_Q029,3,Numbers,Which number is smaller.,54,47,,,47,MCQ,,,
E_MAT_L003_Q030,3,Numbers,Which number is smaller.,33,39,,,33,MCQ,,,
E_MAT_L004_Q031,4,Numbers,Select the smallest number.,45,67,34,50,34,MCQ,,,
E_MAT_L004_Q032,4,Numbers,Select the smallest number.,82,19,56,73,19,MCQ,,,
E_MAT_L004_Q033,4,Numbers,Select the smallest number.,38,91,44,27,27,MCQ,,,
E_MAT_L004_Q034,4,Numbers,Select the smallest number.,60,75,48,53,48,MCQ,,,
E_MAT_L004_Q035,4,Numbers,Select the smallest number.,99,84,76,88,76,MCQ,,,
E_MAT_L004_Q036,4,Numbers,Select the smallest number.,31,57,22,46,22,MCQ,,,
E_MAT_L004_Q037,4,Numbers,Select the smallest number.,69,41,58,63,41,MCQ,,,
E_MAT_L004_Q038,4,Numbers,Select the smallest number.,94,80,87,72,72,MCQ,,,
E_MAT_L004_Q039,4,Numbers,Select the smallest number.,55,29,36,47,29,MCQ,,,
E_MAT_L004_Q040,4,Numbers,Select the smallest number.,18,66,39,52,18,MCQ,,,
E_MAT_L005_Q041,5,Numbers,Which is the correct ascending order? (Smallest to Biggest),23  < 34  < 43,23  < 43  < 34,34  < 23  < 43,43  < 34  < 23,23  < 34  < 43,MCQ,,,
E_MAT_L005_Q042,5,Numbers,Which is the correct ascending order? (Smallest to Biggest),79 < 62 < 45,45 < 79 < 62,45 < 62 < 79,62 < 45 < 79,45 < 62 < 79,MCQ,,,
E_MAT_L005_Q043,5,Numbers,Which is the correct ascending order? (Smallest to Biggest),74 < 58 < 91,58 < 74 < 91,91 < 74 < 58,58 < 91 < 74,58 < 74 < 91,MCQ,,,
E_MAT_L005_Q044,5,Numbers,Which is the correct ascending order? (Smallest to Biggest),48 < 36 < 65,65 < 48 < 36,36 < 65 < 48,36 < 48 < 65,36 < 48 < 65,MCQ,,,
E_MAT_L005_Q045,5,Numbers,Which is the correct ascending order? (Smallest to Biggest),84 < 97 < 89,84 < 89 < 97,89 < 84 < 97,97 < 89 < 84,84 < 89 < 97,MCQ,,,
E_MAT_L005_Q046,5,Numbers,Which is the correct ascending order? (Smallest to Biggest),53 < 27 < 11,27 < 11 < 53,11 < 53 < 27,11 < 27 < 53,11 < 27 < 53,MCQ,,,
E_MAT_L005_Q047,5,Numbers,Which is the correct ascending order? (Smallest to Biggest),19 < 68 < 41,68 < 41 < 19,19 < 41 < 68,41 < 19 < 68,19 < 41 < 68,MCQ,,,
E_MAT_L005_Q048,5,Numbers,Which is the correct ascending order? (Smallest to Biggest),32 < 76 < 57,32 < 57 < 76,76 < 57 < 32,57 < 32 < 76,32 < 57 < 76,MCQ,,,
E_MAT_L005_Q049,5,Numbers,Which is the correct ascending order? (Smallest to Biggest),14 < 38 < 59,59 < 38 < 14,38 < 14 < 59,14 < 59 < 38,14 < 38 < 59,MCQ,,,
E_MAT_L005_Q050,5,Numbers,Which is the correct ascending order? (Smallest to Biggest),83 < 49 < 26,49 < 26 < 83,26 < 83 < 49,26 < 49 < 83,26 < 49 < 83,MCQ,,,
E_MAT_L006_Q051,6,Numbers,Choose the middle number.,65,56,59,,59,MCQ,,,
E_MAT_L006_Q052,6,Numbers,Choose the middle number.,18,27,22,,22,MCQ,,,
E_MAT_L006_Q053,6,Numbers,Choose the middle number.,45,38,51,,45,MCQ,,,
E_MAT_L006_Q054,6,Numbers,Choose the middle number.,74,69,82,,74,MCQ,,,
E_MAT_L006_Q055,6,Numbers,Choose the middle number.,33,41,29,,33,MCQ,,,
E_MAT_L006_Q056,6,Numbers,Choose the middle number.,90,97,93,,93,MCQ,,,
E_MAT_L006_Q057,6,Numbers,Choose the middle number.,58,63,49,,58,MCQ,,,
E_MAT_L006_Q058,6,Numbers,Choose the middle number.,16,11,24,,16,MCQ,,,
E_MAT_L006_Q059,6,Numbers,Choose the middle number.,80,76,88,,80,MCQ,,,
E_MAT_L006_Q060,6,Numbers,Choose the middle number.,54,61,57,,57,MCQ,,,
E_MAT_L007_Q061,7,Numbers,Which is the correct descending order? (Biggest to Smallest),23 > 34 > 43,43 > 34 > 23,34 > 43 > 23,43 > 23 > 34,43 > 34 > 23,MCQ,,,
E_MAT_L007_Q062,7,Numbers,Which is the correct descending order? (Biggest to Smallest),45 > 62 > 79,79 > 45 > 62,79 > 62 > 45,62 > 79 > 45,79 > 62 > 45,MCQ,,,
